drug1,drug2,drug3,n_total,n_ae,n_no_ae,ae_prop,p_value,p_adj,significant,drug1_name,drug2_name,drug3_name
C03C,M03B,N02A,7764,189,7575,0.0243431221020092,0.0012326257438437,0.0091016741336361,True,HIGH-CEILING DIURETICS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
A11C,M01A,N02A,8046,188,7858,0.0233656475267213,0.0080407019103146,0.0411391972195527,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS
A04A,N02A,R06A,3794,187,3607,0.0492883500263574,4.1424790995520726e-41,3.511496683108301e-38,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
A06A,M01A,N02A,6895,187,6708,0.0271211022480058,2.3140177328893454e-06,4.297867116160474e-05,True,DRUGS FOR CONSTIPATION,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS
A06A,M03B,N02A,6139,185,5954,0.0301352011728294,6.621501880834312e-10,2.773179206692505e-08,True,DRUGS FOR CONSTIPATION,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
B05X,N02A,R03A,5813,181,5632,0.0311371064854636,5.284409259740489e-11,2.738073374875805e-09,True,I.V. SOLUTION ADDITIVES,OPIOIDS,"ADRENERGICS, INHALANTS"
A06A,C10A,N02A,6317,180,6137,0.0284945385467785,1.0762087053782615e-07,2.8226503569772422e-06,True,DRUGS FOR CONSTIPATION,"LIPID MODIFYING AGENTS, PLAIN",OPIOIDS
A11C,M03B,N02A,7194,178,7016,0.0247428412566027,0.000796954735575,0.0063804551402743,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
H02A,N02A,R06A,4838,178,4660,0.0367920628358825,9.15850633873361e-19,1.3385314919340875e-16,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
C07A,N02A,N05A,5602,177,5425,0.0315958586219207,2.2232596726575788e-11,1.1958202787553148e-09,True,BETA BLOCKING AGENTS,OPIOIDS,ANTIPSYCHOTICS
A04A,C07A,N02A,4113,173,3940,0.0420617554096766,2.7289230384074307e-26,8.504608386754452e-24,True,ANTIEMETICS AND ANTINAUSEANTS,BETA BLOCKING AGENTS,OPIOIDS
A06A,N02A,N05B,4811,172,4639,0.0357514030347121,1.1037072133128136e-16,1.1813011749760172e-14,True,DRUGS FOR CONSTIPATION,OPIOIDS,ANXIOLYTICS
H03A,N02A,R03A,7236,170,7066,0.0234936428966279,0.0096703408551349,0.04771452000047,True,THYROID PREPARATIONS,OPIOIDS,"ADRENERGICS, INHALANTS"
B01A,M03B,N02A,6798,169,6629,0.0248602530155928,0.0008755728155424,0.0069029535368211,True,ANTITHROMBOTIC AGENTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
H02A,N02A,N05A,2959,166,2793,0.056100033795201,6.899280674847555e-48,8.600562121257026e-45,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS,ANTIPSYCHOTICS
C09A,N02A,R06A,6562,166,6396,0.0252971654983236,0.000421958228496,0.0037983392913571,True,"ACE INHIBITORS, PLAIN",OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
A04A,N02A,R03A,4165,164,4001,0.03937575030012,4.8814039519505324e-21,9.236313620512116e-19,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS,"ADRENERGICS, INHALANTS"
G04C,N02A,N06A,5763,160,5603,0.0277633177164671,3.104544111599433e-06,5.574165506730913e-05,True,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,OPIOIDS,ANTIDEPRESSANTS
N02A,N02B,R03D,6514,159,6355,0.0244089653054958,0.0027993426920705,0.017814916015123,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
N02A,N02B,N07B,4284,157,4127,0.0366479925303454,1.6499340615783163e-16,1.7395722702968995e-14,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS,DRUGS USED IN ADDICTIVE DISORDERS
A02B,J01M,N02A,5210,157,5053,0.0301343570057581,1.3694811020160032e-08,4.430846338003533e-07,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),QUINOLONE ANTIBACTERIALS,OPIOIDS
A06A,N02A,R03A,4909,157,4752,0.0319820737421063,1.1080195363354352e-10,5.37326087277358e-09,True,DRUGS FOR CONSTIPATION,OPIOIDS,"ADRENERGICS, INHALANTS"
G04C,N02A,N02B,5690,157,5533,0.0275922671353251,5.648867615857193e-06,9.408430183339724e-05,True,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
C09A,H02A,N02A,5185,154,5031,0.0297010607521697,5.465199576830853e-08,1.5380944147702448e-06,True,"ACE INHIBITORS, PLAIN","CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
B05X,N02A,N05B,4862,154,4708,0.0316742081447963,3.773207495702612e-10,1.672841281358363e-08,True,I.V. SOLUTION ADDITIVES,OPIOIDS,ANXIOLYTICS
A11C,N02A,N05B,5289,154,5135,0.0291170353564,2.206451928812137e-07,5.331713714411266e-06,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",OPIOIDS,ANXIOLYTICS
B01A,C08C,N02A,5904,152,5752,0.0257452574525745,0.0003309381526269,0.003084099089917,True,ANTITHROMBOTIC AGENTS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS
C03C,C08C,N02A,5983,152,5831,0.0254053150593347,0.0006204162446078,0.0052319383429086,True,HIGH-CEILING DIURETICS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS
A11C,N02A,R03A,5992,152,5840,0.0253671562082777,0.0006649877007725,0.0055266467441954,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",OPIOIDS,"ADRENERGICS, INHALANTS"
A06A,C07A,N02A,4766,150,4616,0.0314729332773814,1.072762387340512e-09,4.355168680559412e-08,True,DRUGS FOR CONSTIPATION,BETA BLOCKING AGENTS,OPIOIDS
B03B,N02A,N06A,5498,150,5348,0.027282648235722,1.769914469835308e-05,0.0002563774944958,True,VITAMIN B12 AND FOLIC ACID,OPIOIDS,ANTIDEPRESSANTS
A11C,C07A,N02A,5579,149,5430,0.026707295214196,6.051360915864155e-05,0.0007412742227109,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",BETA BLOCKING AGENTS,OPIOIDS
J05A,N02A,N06A,5372,149,5223,0.0277364110201042,7.327970955115687e-06,0.0001182744558117,True,DIRECT ACTING ANTIVIRALS,OPIOIDS,ANTIDEPRESSANTS
A02B,G04C,N02A,6099,148,5951,0.0242662731595343,0.0049993259389942,0.028102311750442,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,OPIOIDS
C03C,H02A,N02A,4194,147,4047,0.0350500715307582,1.345726369229729e-13,1.0446385793669016e-11,True,HIGH-CEILING DIURETICS,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
N02A,N05A,R06A,4116,146,3970,0.0354713313896987,5.146368825341208e-14,4.276935221436505e-12,True,OPIOIDS,ANTIPSYCHOTICS,ANTIHISTAMINES FOR SYSTEMIC USE
C08C,N02A,R06A,5429,145,5284,0.0267084177564929,7.640022494940355e-05,0.0009065361518072,True,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
H02A,N02A,N03A,4424,145,4279,0.0327757685352622,7.908417960178494e-11,3.990361747907206e-09,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS,ANTIEPILEPTICS
C09A,N02A,N03A,5903,144,5759,0.0243943757411485,0.0046314040359224,0.0263840629917387,True,"ACE INHIBITORS, PLAIN",OPIOIDS,ANTIEPILEPTICS
N02A,N04B,N06A,4861,143,4718,0.0294178152643489,3.146073794100741e-07,7.367027165147283e-06,True,OPIOIDS,DOPAMINERGIC AGENTS,ANTIDEPRESSANTS
B05X,M03B,N02A,5004,143,4861,0.0285771382893685,1.963570775548465e-06,3.745453814169493e-05,True,I.V. SOLUTION ADDITIVES,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
M03B,N02A,R03B,5715,142,5573,0.0248468941382327,0.0024128443136094,0.0157817891030902,True,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
J05A,N02A,N02B,4375,142,4233,0.0324571428571428,2.7603782114147256e-10,1.2580201087376533e-08,True,DIRECT ACTING ANTIVIRALS,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
C08C,H02A,N02A,4561,141,4420,0.0309142731857048,1.2909957197687664e-08,4.213897465329288e-07,True,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
A02B,B03B,N02A,5481,141,5340,0.0257252326217843,0.0005741250952087,0.0049139172123039,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),VITAMIN B12 AND FOLIC ACID,OPIOIDS
C09A,N02A,N05A,4204,138,4066,0.0328258801141769,2.0354651478008268e-10,9.459556450042792e-09,True,"ACE INHIBITORS, PLAIN",OPIOIDS,ANTIPSYCHOTICS
C02A,N02A,N06A,3539,138,3401,0.0389940661203729,1.9366683123555852e-17,2.2427254030294847e-15,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",OPIOIDS,ANTIDEPRESSANTS
A04A,B01A,N02A,2511,137,2374,0.0545599362803663,1.3370980573156242e-37,9.44526067687757e-35,True,ANTIEMETICS AND ANTINAUSEANTS,ANTITHROMBOTIC AGENTS,OPIOIDS
H02A,N02A,R03B,4270,136,4134,0.0318501170960187,2.775079128487487e-09,1.0263434012374665e-07,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
H02A,N02A,N05C,4696,136,4560,0.0289608177172061,1.6177959489189612e-06,3.154032359658751e-05,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS,HYPNOTICS AND SEDATIVES
C03C,N02A,N03A,4098,135,3963,0.0329428989751098,2.4395784931704504e-10,1.1190378231010428e-08,True,HIGH-CEILING DIURETICS,OPIOIDS,ANTIEPILEPTICS
N02A,N05B,R03D,4636,135,4501,0.0291199309749784,1.2753711898168323e-06,2.557016674985649e-05,True,OPIOIDS,ANXIOLYTICS,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
A10B,H02A,N02A,4440,134,4306,0.0301801801801801,1.499823081266414e-07,3.81563634312099e-06,True,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
B03B,N02A,N02B,4895,134,4761,0.0273748723186925,4.318195253883751e-05,0.0005586763969493,True,VITAMIN B12 AND FOLIC ACID,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
J01D,N02A,N02B,5070,133,4937,0.026232741617357,0.0003556466618254,0.0032783227739906,True,OTHER BETA-LACTAM ANTIBACTERIALS,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
J01M,N02A,N02B,4366,133,4233,0.0304626660558863,9.11009519818671e-08,2.4253911738690047e-06,True,QUINOLONE ANTIBACTERIALS,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
C08C,N02A,N03A,4300,133,4167,0.0309302325581395,3.2818041727976094e-08,9.63268615372949e-07,True,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS,ANTIEPILEPTICS
B01A,H02A,N02A,3702,132,3570,0.0356564019448946,5.44163382395162e-13,3.7563226057714245e-11,True,ANTITHROMBOTIC AGENTS,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
C03C,C03D,N02A,3843,132,3711,0.0343481654957064,1.3674303753888575e-11,7.605927694288891e-10,True,HIGH-CEILING DIURETICS,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,OPIOIDS
J01M,N02A,N06A,5223,132,5091,0.0252728317059161,0.0018086396667419,0.0124242112860926,True,QUINOLONE ANTIBACTERIALS,OPIOIDS,ANTIDEPRESSANTS
A04A,N02A,N03A,3270,131,3139,0.0400611620795107,7.509054325564153e-18,9.305957851892136e-16,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS,ANTIEPILEPTICS
C03C,H03A,N02A,5233,131,5102,0.0250334416204853,0.0027293589301274,0.0174428752856636,True,HIGH-CEILING DIURETICS,THYROID PREPARATIONS,OPIOIDS
J01E,N02A,N02B,3549,130,3419,0.0366300366300366,7.271318404698283e-14,5.836885592135076e-12,True,SULFONAMIDES AND TRIMETHOPRIM,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
A02B,J05A,N02A,4413,129,4284,0.0292318150917743,1.7831927946607196e-06,3.441659535924405e-05,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),DIRECT ACTING ANTIVIRALS,OPIOIDS
B05X,M01A,N02A,5084,129,4955,0.0253737214791502,0.0017536691311937,0.0120936401653947,True,I.V. SOLUTION ADDITIVES,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS
A10B,N02A,N05A,3859,129,3730,0.0334283493132936,2.030991650339984e-10,9.459511000880206e-09,True,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",OPIOIDS,ANTIPSYCHOTICS
N02A,N02B,N04B,4122,129,3993,0.0312954876273653,2.4298790044914412e-08,7.387947756554177e-07,True,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS,DOPAMINERGIC AGENTS
N02A,N05A,N05C,4951,125,4826,0.0252474247626742,0.0025161045404406,0.0163562231352814,True,OPIOIDS,ANTIPSYCHOTICS,HYPNOTICS AND SEDATIVES
A04A,A06A,N02A,2453,125,2328,0.0509580105992662,6.2524305474486274e-30,2.7604480866985684e-27,True,ANTIEMETICS AND ANTINAUSEANTS,DRUGS FOR CONSTIPATION,OPIOIDS
A02B,J01D,N02A,4889,124,4765,0.0253630599304561,0.0022085359836022,0.0146856901677122,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OTHER BETA-LACTAM ANTIBACTERIALS,OPIOIDS
C09C,N02A,N05B,4916,124,4792,0.0252237591537835,0.0027161681795471,0.0173847889039451,True,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",OPIOIDS,ANXIOLYTICS
N02A,N07B,R03A,3510,121,3389,0.0344729344729344,7.565933352877027e-11,3.8266649072594256e-09,True,OPIOIDS,DRUGS USED IN ADDICTIVE DISORDERS,"ADRENERGICS, INHALANTS"
A02B,N01B,N02A,4386,120,4266,0.027359781121751,0.0001147580266495,0.0012860666846944,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),"ANESTHETICS, LOCAL",OPIOIDS
A11C,N02A,R06A,4558,119,4439,0.0261079420798595,0.0009070376675431,0.0071087064536151,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
B01A,N02A,N03A,3864,118,3746,0.0305383022774327,4.348164742562993e-07,9.908205077891928e-06,True,ANTITHROMBOTIC AGENTS,OPIOIDS,ANTIEPILEPTICS
N01B,N02A,N06A,4654,117,4537,0.0251396648044692,0.0040789371104209,0.0239780402896093,True,"ANESTHETICS, LOCAL",OPIOIDS,ANTIDEPRESSANTS
B01A,B05X,N02A,4318,117,4201,0.0270958777211672,0.0002160064374187,0.0021521431226041,True,ANTITHROMBOTIC AGENTS,I.V. SOLUTION ADDITIVES,OPIOIDS
A02B,N02A,N07B,3854,117,3737,0.0303580695381421,6.879931167505823e-07,1.4892696762184208e-05,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS,DRUGS USED IN ADDICTIVE DISORDERS
H02A,H03A,N02A,4247,116,4131,0.0273133976924888,0.0001623966055433,0.001706251296319,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",THYROID PREPARATIONS,OPIOIDS
A04A,N02A,N05C,3205,116,3089,0.0361934477379095,4.4198778751187456e-12,2.6310688744246196e-10,True,ANTIEMETICS AND ANTINAUSEANTS,OPIOIDS,HYPNOTICS AND SEDATIVES
A02B,C03D,N02A,3428,114,3314,0.0332555425904317,3.3992392247262104e-09,1.237743602240513e-07,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,OPIOIDS
J01E,N02A,N06A,4134,114,4020,0.0275761973875181,0.0001218994311619,0.001350388261988,True,SULFONAMIDES AND TRIMETHOPRIM,OPIOIDS,ANTIDEPRESSANTS
A02B,N02A,N04B,3912,114,3798,0.0291411042944785,8.672318735007911e-06,0.0001367438829109,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),OPIOIDS,DOPAMINERGIC AGENTS
A02B,A03A,N02A,4145,114,4031,0.027503015681544,0.0001371828540146,0.0014946935950021,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,OPIOIDS
H02A,N02A,R01A,4549,113,4436,0.0248406243130358,0.0071269512153396,0.0374775062420542,True,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
C02A,N02A,N02B,3209,111,3098,0.0345902150202555,3.718495520804373e-10,1.6520410288655405e-08,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
M01A,N02A,N07B,3564,111,3453,0.0311447811447811,3.199682471355116e-07,7.46780516882793e-06,True,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OPIOIDS,DRUGS USED IN ADDICTIVE DISORDERS
A06A,N02A,R06A,3543,111,3432,0.0313293818797629,2.268155721958716e-07,5.468345399288864e-06,True,DRUGS FOR CONSTIPATION,OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
B05X,N02A,R06A,3205,110,3095,0.0343213728549142,7.72607380024584e-10,3.2041282969630107e-08,True,I.V. SOLUTION ADDITIVES,OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
N02A,R03D,R06A,4138,110,4028,0.0265828902851619,0.0007298041656479,0.0059427983901202,True,OPIOIDS,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,ANTIHISTAMINES FOR SYSTEMIC USE
A03A,N02A,N06A,3556,110,3446,0.030933633295838,5.342693283405072e-07,1.1855744090253432e-05,True,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,OPIOIDS,ANTIDEPRESSANTS
A04A,C08C,N02A,2166,110,2056,0.0507848568790397,2.6874798142573197e-26,8.500458540856886e-24,True,ANTIEMETICS AND ANTINAUSEANTS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS
B05X,H02A,N02A,2604,110,2494,0.0422427035330261,2.36937705036872e-17,2.7141534298061575e-15,True,I.V. SOLUTION ADDITIVES,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
A02B,C02A,N02A,3296,109,3187,0.0330703883495145,1.0923924999109586e-08,3.611541631530895e-07,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",OPIOIDS
C02A,C10A,N02A,3189,109,3080,0.0341799937284415,1.2283329175331175e-09,4.911477582709779e-08,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING","LIPID MODIFYING AGENTS, PLAIN",OPIOIDS
J01C,N02A,N02B,4315,109,4206,0.0252607184241019,0.0048203149115076,0.0273022019109487,True,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
A04A,C09A,N02A,2607,109,2498,0.0418105101649405,8.926980159244981e-17,9.603074291102522e-15,True,ANTIEMETICS AND ANTINAUSEANTS,"ACE INHIBITORS, PLAIN",OPIOIDS
A02B,J01E,N02A,3652,108,3544,0.0295728368017524,7.357319750485588e-06,0.000118567543842,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),SULFONAMIDES AND TRIMETHOPRIM,OPIOIDS
A06A,C03C,N02A,3107,107,3000,0.034438364982298,1.0549525050481027e-09,4.2910851222609214e-08,True,DRUGS FOR CONSTIPATION,HIGH-CEILING DIURETICS,OPIOIDS
A06A,C09A,N02A,3130,106,3024,0.0338658146964856,3.850878766192253e-09,1.39025251811152e-07,True,DRUGS FOR CONSTIPATION,"ACE INHIBITORS, PLAIN",OPIOIDS
B01A,N02A,R06A,3617,105,3512,0.029029582526956,2.414645516946848e-05,0.0003351091538646,True,ANTITHROMBOTIC AGENTS,OPIOIDS,ANTIHISTAMINES FOR SYSTEMIC USE
C01D,N02A,N02B,3731,104,3627,0.0278745644599303,0.000159130411416,0.0016777570540942,True,VASODILATORS USED IN CARDIAC DISEASES,OPIOIDS,OTHER ANALGESICS AND ANTIPYRETICS
A04A,A10B,N02A,2464,103,2361,0.041801948051948,6.526482832265598e-16,6.52402000855531e-14,True,ANTIEMETICS AND ANTINAUSEANTS,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",OPIOIDS
A04A,B05X,N02A,1869,103,1766,0.0551096843231674,3.8978721818604337e-29,1.6520741455597266e-26,True,ANTIEMETICS AND ANTINAUSEANTS,I.V. SOLUTION ADDITIVES,OPIOIDS
B05X,C09A,N02A,3918,103,3815,0.026288922919857,0.0016362527137655,0.0114289609459854,True,I.V. SOLUTION ADDITIVES,"ACE INHIBITORS, PLAIN",OPIOIDS
N02A,N05B,N07B,3120,103,3017,0.0330128205128205,3.1390339330125894e-08,9.264959207298438e-07,True,OPIOIDS,ANXIOLYTICS,DRUGS USED IN ADDICTIVE DISORDERS
C01D,N02A,N06A,3739,102,3637,0.0272800213960952,0.0004390019650691,0.0039254555458837,True,VASODILATORS USED IN CARDIAC DISEASES,OPIOIDS,ANTIDEPRESSANTS
A04A,C03C,N02A,1994,102,1892,0.0511534603811434,7.653782602997223e-25,2.0794738579835533e-22,True,ANTIEMETICS AND ANTINAUSEANTS,HIGH-CEILING DIURETICS,OPIOIDS
A11C,C03C,N02A,3214,102,3112,0.0317361543248288,3.564112914374862e-07,8.263750643482721e-06,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",HIGH-CEILING DIURETICS,OPIOIDS
C02A,N02A,N05B,2424,101,2323,0.0416666666666666,1.6752123736052433e-15,1.5919776063427051e-13,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",OPIOIDS,ANXIOLYTICS
B05X,H03A,N02A,3289,101,3188,0.0307084220127698,2.335782687649616e-06,4.334392263651077e-05,True,I.V. SOLUTION ADDITIVES,THYROID PREPARATIONS,OPIOIDS
H03A,N02A,N05A,3305,101,3204,0.0305597579425113,2.9903292557772467e-06,5.388695373165936e-05,True,THYROID PREPARATIONS,OPIOIDS,ANTIPSYCHOTICS
M03B,N02A,N07B,3334,100,3234,0.02999400119976,8.412359933177323e-06,0.0001336392291633,True,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS,DRUGS USED IN ADDICTIVE DISORDERS
C08C,N02A,N05A,3161,100,3061,0.0316355583676051,5.549627713833789e-07,1.2238055204117131e-05,True,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS,ANTIPSYCHOTICS
C02A,M03B,N02A,2517,100,2417,0.0397298371076678,1.264863028280031e-13,9.85477106445236e-12,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING","MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
B05X,C08C,N02A,3591,99,3492,0.0275689223057644,0.0003587702827227,0.0033013720501347,True,I.V. SOLUTION ADDITIVES,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,OPIOIDS
A06A,B01A,N02A,2454,99,2355,0.0403422982885085,4.867156830668564e-14,4.0930471252193735e-12,True,DRUGS FOR CONSTIPATION,ANTITHROMBOTIC AGENTS,OPIOIDS
B01A,N02A,N05A,2573,99,2474,0.0384764865915274,2.060104560714835e-12,1.287838815653946e-10,True,ANTITHROMBOTIC AGENTS,OPIOIDS,ANTIPSYCHOTICS
J01D,N02A,N05B,3768,98,3670,0.0260084925690021,0.0030723838939519,0.0192747067734249,True,OTHER BETA-LACTAM ANTIBACTERIALS,OPIOIDS,ANXIOLYTICS
J01D,M03B,N02A,3722,97,3625,0.0260612573885008,0.0030274481126695,0.0190265956120083,True,OTHER BETA-LACTAM ANTIBACTERIALS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",OPIOIDS
A06A,H02A,N02A,2142,97,2045,0.0452847805788982,3.4613284595497448e-18,4.642561564226467e-16,True,DRUGS FOR CONSTIPATION,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
A04A,N01B,N02A,1513,96,1417,0.0634500991407799,1.957584519641218e-35,1.3382300367818288e-32,True,ANTIEMETICS AND ANTINAUSEANTS,"ANESTHETICS, LOCAL",OPIOIDS
A11C,H02A,N02A,2595,96,2499,0.0369942196531791,7.474600706387613e-11,3.7895152672192895e-09,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",OPIOIDS
C02A,C07A,N02A,3512,96,3416,0.0273348519362186,0.0006112961927724,0.0051694289374434,True,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",BETA BLOCKING AGENTS,OPIOIDS
A11C,N02A,N03A,3085,96,2989,0.0311183144246353,2.196053178528478e-06,4.114832799237445e-05,True,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",OPIOIDS,ANTIEPILEPTICS
A02B,L04A,N02A,3644,96,3548,0.0263446761800219,0.0022352446478414,0.0148353600303967,True,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),IMMUNOSUPPRESSANTS,OPIOIDS
